City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Vicente,AR,-26.6167,-54.1333,92.82,26,73,3.22,broken clouds
80,Cam Ranh,VN,11.9214,109.1591,78.76,78,40,18.41,scattered clouds
81,Grand Bank,CA,47.0999,-55.765,54.99,86,100,31.21,overcast clouds
82,Barrow,US,71.2906,-156.7887,-3.98,77,90,4.61,overcast clouds
83,Santa Rosalia,MX,27.3167,-112.2833,72.46,41,0,2.66,clear sky
84,Sabnova,RU,42.0762,48.248,39.74,91,100,20.56,overcast clouds
85,Laurel,US,39.0993,-76.8483,47.8,44,1,1.99,clear sky
86,Caravelas,BR,-17.7125,-39.2481,82.02,64,64,8.77,broken clouds
87,Abha,SA,18.2164,42.5053,66.02,67,0,8.05,clear sky
88,Saint George,US,37.1041,-113.5841,54.07,30,0,1.99,clear sky
89,Mokhotlong,LS,-29.2894,29.0675,53.08,53,100,9.86,overcast clouds
90,Abu Zabad,SD,12.35,29.25,77.88,16,2,11.43,clear sky
91,Yellowknife,CA,62.456,-114.3525,-10.59,92,20,1.99,few clouds
92,Tilichiki,RU,60.4667,166.1,-1.52,97,47,7.74,scattered clouds
93,New Norfolk,AU,-42.7826,147.0587,55.76,65,72,3.0,broken clouds
94,Labuhan,ID,-6.8844,112.2051,80.29,81,100,8.19,light rain
95,Cherskiy,RU,68.75,161.3,-16.15,95,100,2.51,overcast clouds
96,Abeche,TD,13.8292,20.8324,81.0,12,16,5.93,few clouds
97,East London,ZA,-33.0153,27.9116,59.94,88,75,3.44,broken clouds
98,Georgetown,MY,5.4112,100.3354,84.13,90,20,0.0,few clouds
99,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,82,75,28.1,broken clouds
100,Atagay,RU,55.1033,99.3875,14.13,93,44,3.94,scattered clouds
101,Camana,PE,-16.6228,-72.7111,67.96,80,99,9.15,overcast clouds
102,Torbay,CA,47.6666,-52.7314,52.29,98,90,21.85,fog
103,Monastyrshchina,RU,54.3496,31.838,32.5,92,92,16.35,overcast clouds
104,Krasnoselkup,RU,65.7,82.4667,9.41,95,100,10.6,overcast clouds
105,Faanui,PF,-16.4833,-151.75,79.83,75,30,4.34,light rain
106,Grindavik,IS,63.8424,-22.4338,32.47,64,90,1.14,overcast clouds
107,Diffa,NE,13.3154,12.6113,84.49,15,20,8.32,few clouds
108,Lokosovo,RU,61.1333,74.8167,2.61,97,97,7.9,overcast clouds
109,Broome,US,42.2506,-75.833,42.06,66,17,1.01,few clouds
110,Kapaa,US,22.0752,-159.319,74.21,73,0,5.57,clear sky
111,Vardo,NO,70.3705,31.1107,22.75,86,0,14.97,light snow
112,Tombouctou,ML,20.0,-3.0,87.66,20,43,7.92,scattered clouds
113,Mount Gambier,AU,-37.8333,140.7667,55.31,88,90,13.8,overcast clouds
114,Zhob,PK,31.3411,69.4481,57.97,33,26,4.56,scattered clouds
115,Bitkine,TD,11.9801,18.2138,84.16,14,53,8.05,broken clouds
116,Tongliao,CN,43.6125,122.2653,18.41,80,12,7.83,few clouds
117,Ponta Do Sol,PT,32.6667,-17.1,67.12,62,92,10.54,overcast clouds
118,Usevya,TZ,-7.1,31.2333,73.53,71,89,1.14,overcast clouds
119,Graham,US,47.0529,-122.2943,41.92,91,90,0.0,overcast clouds
120,Chuy,UY,-33.6971,-53.4616,80.28,30,0,9.26,clear sky
121,Port Alfred,ZA,-33.5906,26.891,62.67,68,100,11.14,overcast clouds
122,Hervey Bay,AU,-25.2986,152.8535,77.02,84,100,4.0,overcast clouds
123,Mabaruma,GY,8.2,-59.7833,81.25,88,100,3.83,overcast clouds
124,Yumen,CN,40.2833,97.2,30.02,28,8,12.28,clear sky
125,Myitkyina,MM,25.3833,97.4,60.82,68,0,2.64,clear sky
126,Kodinar,IN,20.7903,70.7031,77.94,65,2,4.76,clear sky
127,Baghdad,IQ,33.3406,44.4009,62.51,51,0,1.14,clear sky
128,Ballina,AU,-28.8667,153.5667,69.98,100,40,4.61,scattered clouds
129,Cidreira,BR,-30.1811,-50.2056,71.51,58,0,14.2,clear sky
130,Capinzal,BR,-27.3436,-51.6119,91.87,34,9,3.09,clear sky
131,Gat,IL,31.61,34.7642,66.88,100,37,5.73,scattered clouds
132,Saint-Francois,FR,46.4154,3.9054,40.44,84,62,6.91,broken clouds
133,Axim,GH,4.8699,-2.2405,82.92,75,15,7.43,few clouds
134,Qaanaaq,GL,77.484,-69.3632,-5.4,56,0,8.46,clear sky
135,Sitka,US,57.0531,-135.33,37.74,93,100,11.7,moderate rain
136,Acari,PE,-15.4311,-74.6158,75.04,58,100,8.5,overcast clouds
137,Vaini,TO,-21.2,-175.2,69.96,100,20,0.0,few clouds
