City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
329,Lakeway,US,70.52,clear sky,30.3638,-97.9796,Lakeway Resort & Spa
337,Phan Thiet,VN,73.76,broken clouds,10.9333,108.1,Hotel Saigon-PT
340,Inverell,AU,61.16,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
365,Vao,NC,74.41,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
370,Laguna,US,68.23,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
371,Souillac,MU,72.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
375,Nagar,IN,65.05,clear sky,27.4333,77.1,Hotel Park Palace
376,Vila Franca Do Campo,PT,66.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
385,Richards Bay,ZA,68.02,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
386,Silver City,US,65.68,broken clouds,32.7701,-108.2803,Copper Manor Motel
388,Port Lincoln,AU,60.87,few clouds,-34.7333,135.8667,Port Lincoln Hotel
390,Mohpa,IN,71.22,clear sky,21.3167,78.8167,Arvind Waghmare
406,Kapit,MY,73.49,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
409,Hervey Bay,AU,73.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
420,Saldanha,ZA,62.49,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
421,Liwale,TZ,73.98,scattered clouds,-9.7667,37.9333,Samoma lodge
424,Charlestown,AU,66.85,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
427,Cuenca,EC,63.25,moderate rain,-2.8833,-78.9833,Hotel Cuenca
430,Kiunga,PG,72.59,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
435,Pathein,MM,73.89,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
439,Tahta,EG,66.81,clear sky,26.7693,31.5021,مصطفي عساف
440,Huarmey,PE,71.11,overcast clouds,-10.0681,-78.1522,Hotel Miramar
441,Yellandu,IN,74.08,scattered clouds,17.6,80.3333,Chekuri Satyanarayana
447,Butembo,CD,60.19,broken clouds,0.15,29.2833,Hotel Butembo
458,Camacha,PT,65.16,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
472,Sohbatpur,PK,69.1,clear sky,28.5202,68.5434,Allu Hotel
482,Port Augusta,AU,64.54,moderate rain,-32.5,137.7667,Majestic Oasis Apartments
500,Wodonga,AU,62.6,overcast clouds,-36.1167,146.8833,The Hume Inn Motel
515,Charters Towers,AU,73.76,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
517,Seminole,US,67.5,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
519,Jalesar,IN,63.97,clear sky,27.4833,78.3167,Shivam Yadav house
521,Cidreira,BR,71.31,clear sky,-30.1811,-50.2056,Hotel Castelo
524,Kumbo,CM,62.98,overcast clouds,6.2,10.6667,Western Inn Resort
526,Kikwit,CD,72.23,light rain,-5.041,18.8162,HOTEL PLACE YALABA
528,Jasper,US,65.53,clear sky,37.2001,-94.3502,Guest House Motel
529,Titlagarh,IN,72.88,clear sky,20.3,83.15,Jalaram Lodging & Boarding
534,Tura,IN,60.78,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
544,Riobamba,EC,71.96,light rain,-1.6667,-78.6333,Mansion Santa Isabella
545,San Quintin,MX,71.67,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
554,Alice Springs,AU,67.55,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
558,Springbok,ZA,60.85,scattered clouds,-29.6643,17.8865,Undulata Country Lodge
560,Weatherford,US,72.09,clear sky,32.7593,-97.7972,"Candlewood Suites Weatherford, an IHG Hotel"
565,Suez,EG,65.46,overcast clouds,29.9737,32.5263,Green House
567,Taltal,CL,65.93,broken clouds,-25.4,-70.4833,Residencial Karime
568,Fethiye,TR,64.27,overcast clouds,36.6217,29.1164,Club & Hotel Letoonia
587,Mapimi,MX,70.57,scattered clouds,25.8167,-103.85,Propiedad Lldm
592,Xai-Xai,MZ,72.05,light rain,-25.0519,33.6442,Complexo da Familia
593,Bam,IR,63.68,clear sky,29.106,58.357,Bam Tourist Hotel
599,Ruteng,ID,63.19,scattered clouds,-8.6136,120.4721,Hotel FX 72
606,Half Moon Bay,US,65.75,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
609,Jimenez,MX,74.14,overcast clouds,28.3333,-105.4,El torreon
611,Pangkalanbuun,ID,73.87,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
639,Key West,US,73.4,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
